City,Latitude,Longitude,Maxium Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date,Hemisphere
Souillac,-20.5167,57.5167,77.0,88,75,12.66,MU,1619371807,Southern Hemisphere
Ambon City,-3.6954,128.1814,80.01,89,92,8.7,ID,1619371731,Southern Hemisphere
Kirakira,-10.4544,161.9205,78.62,84,59,4.21,SB,1619371808,Southern Hemisphere
Tazovsky,67.4667,78.7,7.41,96,42,8.16,RU,1619371808,Northern Hemisphere
Vernon,50.2581,-119.2691,50.0,76,100,2.3,CA,1619371593,Northern Hemisphere
Umm Kaddadah,13.6017,26.6876,89.55,11,12,12.37,SD,1619371809,Northern Hemisphere
Naro Moru,-0.1676,37.0213,56.39,91,68,3.8,KE,1619371809,Southern Hemisphere
Tiksi,71.6872,128.8694,21.4,96,99,4.25,RU,1619371511,Northern Hemisphere
Gastello,49.1167,142.9667,27.09,77,86,5.64,RU,1619371810,Northern Hemisphere
Port Macquarie,-31.4333,152.9167,55.99,99,14,1.99,AU,1619371811,Southern Hemisphere
Laguna,38.421,-121.4238,57.99,62,90,6.91,US,1619371811,Northern Hemisphere
Sitia,35.2,26.0986,57.99,79,40,30.53,GR,1619371812,Northern Hemisphere
La Ronge,55.1001,-105.2842,37.4,38,100,12.66,CA,1619371813,Northern Hemisphere
Hambantota,6.1241,81.1185,80.55,79,33,6.22,LK,1619371814,Northern Hemisphere
Khandela,27.6,75.5,77.52,8,0,2.84,IN,1619371814,Northern Hemisphere
Platonovka,52.7106,41.952,40.06,68,50,12.03,RU,1619371815,Northern Hemisphere
Cidreira,-30.1811,-50.2056,70.75,72,87,15.61,BR,1619371816,Southern Hemisphere
Guarapari,-20.6667,-40.4975,87.01,66,20,13.8,BR,1619371816,Southern Hemisphere
Yerbogachën,61.2767,108.0108,33.28,97,100,7.63,RU,1619371817,Northern Hemisphere
Ures,29.4333,-110.4,84.0,16,14,5.99,MX,1619371817,Northern Hemisphere
Necochea,-38.5473,-58.7368,64.0,70,99,4.0,AR,1619371701,Southern Hemisphere
Jiuquan,39.7432,98.5174,44.08,15,88,12.17,CN,1619371818,Northern Hemisphere
São Filipe,14.8961,-24.4956,71.6,75,84,10.76,CV,1619371818,Northern Hemisphere
Sibiti,-3.6819,13.3499,73.13,89,86,1.66,CG,1619371818,Southern Hemisphere
Karasjok,69.4719,25.5112,35.6,55,75,3.44,NO,1619371819,Northern Hemisphere
Acapulco de Juárez,16.8634,-99.8901,86.0,54,90,9.22,MX,1619371573,Northern Hemisphere
Banda Aceh,5.5577,95.3222,80.44,79,88,7.4,ID,1619371575,Northern Hemisphere
Aldama,22.9167,-98.0667,90.0,71,54,8.01,MX,1619371820,Northern Hemisphere
Saint Paul Harbor,57.79,-152.4072,39.2,87,90,9.22,US,1619371820,Northern Hemisphere
Saint-Philippe,-21.3585,55.7679,78.8,73,0,23.02,RE,1619371820,Southern Hemisphere
Matadi,-5.8167,13.45,80.55,82,60,1.79,CD,1619371821,Southern Hemisphere
Härnösand,62.6323,17.9379,42.8,33,0,14.97,SE,1619371821,Northern Hemisphere
Nosy Varika,-20.5833,48.5333,72.54,90,97,2.73,MG,1619371821,Southern Hemisphere
Walvis Bay,-22.9575,14.5053,68.0,64,3,9.22,NA,1619371822,Southern Hemisphere
Nouadhibou,20.931,-17.0347,71.6,64,0,24.16,MR,1619371822,Northern Hemisphere
Leh,34.1667,77.5833,34.95,29,2,3.87,IN,1619371823,Northern Hemisphere
Bukama,-9.2,25.85,69.84,93,98,2.13,CD,1619371823,Southern Hemisphere
Gazli,40.1333,63.45,74.32,18,99,19.84,UZ,1619371823,Northern Hemisphere
Kieta,-6.2167,155.6333,77.79,83,72,2.1,PG,1619371824,Southern Hemisphere
Iqaluit,63.7506,-68.5145,33.8,80,75,3.44,CA,1619371585,Northern Hemisphere
Half Moon Bay,37.4636,-122.4286,57.99,76,90,12.66,US,1619371824,Northern Hemisphere
Ileza,61.0533,43.9002,39.31,95,100,6.17,RU,1619371824,Northern Hemisphere
Peniche,39.3558,-9.3811,66.0,89,59,4.0,PT,1619371825,Northern Hemisphere
Broken Hill,-31.95,141.4333,53.6,66,0,2.3,AU,1619371825,Southern Hemisphere
Port Elizabeth,-33.918,25.5701,62.6,77,0,7.0,ZA,1619371825,Southern Hemisphere
Touros,-5.1989,-35.4608,86.0,66,40,14.97,BR,1619371826,Southern Hemisphere
Nikolskoye,59.7035,30.7861,39.99,87,75,11.18,RU,1619371826,Northern Hemisphere
Atar,20.5169,-13.0499,94.73,12,0,14.83,MR,1619371826,Northern Hemisphere
Darhan,49.4867,105.9228,35.04,97,100,9.31,MN,1619371827,Northern Hemisphere
Portland,45.5234,-122.6762,54.0,71,90,3.44,US,1619370999,Northern Hemisphere
Ibrā’,22.6906,58.5334,81.34,33,45,4.16,OM,1619371827,Northern Hemisphere
Vanino,49.0869,140.2543,27.52,76,60,4.07,RU,1619371828,Northern Hemisphere
Mahébourg,-20.4081,57.7,77.0,88,75,12.66,MU,1619371828,Southern Hemisphere
Chui,-33.6971,-53.4616,69.78,47,17,11.63,UY,1619371828,Southern Hemisphere
Qaanaaq,77.484,-69.3632,31.57,74,87,2.89,GL,1619371818,Northern Hemisphere
Srednekolymsk,67.45,153.6833,-4.59,100,26,4.61,RU,1619371685,Northern Hemisphere
Batetskiy,58.6461,30.3027,37.06,90,100,7.38,RU,1619371830,Northern Hemisphere
Zilupe,56.3862,28.1217,32.76,92,78,5.26,LV,1619371831,Northern Hemisphere
Alanya,36.5438,31.9998,68.0,73,0,3.44,TR,1619371831,Northern Hemisphere
Karaton,-6.3424,106.1045,84.0,78,20,4.61,ID,1619371832,Southern Hemisphere
Mataura,-46.1927,168.8643,42.01,84,38,5.99,NZ,1619371832,Southern Hemisphere
Montrose,38.4166,-108.2673,66.99,17,23,7.0,US,1619371832,Northern Hemisphere
Beisfjord,68.3751,17.5988,37.4,65,90,5.75,NO,1619371832,Northern Hemisphere
Muisne,0.6,-80.0333,84.2,84,75,11.5,EC,1619371833,Northern Hemisphere
Elizabeth City,36.2946,-76.2511,61.0,67,90,13.8,US,1619371833,Northern Hemisphere
Riyadh,24.6877,46.7219,89.6,15,0,3.44,SA,1619371804,Northern Hemisphere
Oranjemund,-28.55,16.4333,62.55,88,100,2.71,NA,1619371834,Southern Hemisphere
Allāpalli,19.4167,80.0667,92.35,21,30,1.19,IN,1619371834,Northern Hemisphere
Safi,32.2994,-9.2372,64.54,75,6,22.1,MA,1619371665,Northern Hemisphere
Ribeira Grande,38.5167,-28.7,64.4,72,20,5.75,PT,1619371834,Northern Hemisphere
Chegdomyn,51.1167,133.0167,29.35,49,72,2.82,RU,1619371835,Northern Hemisphere
Ubari,26.5921,12.7805,83.73,19,0,10.38,LY,1619371835,Northern Hemisphere
Lorengau,-2.0226,147.2712,79.97,79,100,5.75,PG,1619371835,Southern Hemisphere
Palmerston,-12.486,130.9833,77.0,65,40,4.61,AU,1619371836,Southern Hemisphere
Provideniya,64.3833,-173.3,33.84,92,91,2.06,RU,1619371836,Northern Hemisphere
Batagay,67.6333,134.6333,19.51,97,95,4.36,RU,1619371616,Northern Hemisphere
Kidal,18.4411,1.4078,99.19,4,6,6.85,ML,1619371836,Northern Hemisphere
Buala,-8.145,159.5921,79.34,82,53,1.25,SB,1619371837,Southern Hemisphere
Shchebetovka,44.9333,35.15,45.09,54,100,7.34,UA,1619371837,Northern Hemisphere
Tomatlán,19.9333,-105.25,90.28,33,65,5.99,MX,1619371766,Northern Hemisphere
Kumluca,36.3703,30.2869,67.3,61,57,1.9,TR,1619371838,Northern Hemisphere
Kaoma,-14.7833,24.8,65.57,67,99,4.63,ZM,1619371838,Southern Hemisphere
Laas,46.6166,10.7002,73.4,35,0,6.91,IT,1619371838,Northern Hemisphere
Faanui,-16.4833,-151.75,80.64,65,7,3.62,PF,1619371839,Southern Hemisphere
Camocim,-2.9022,-40.8411,84.96,68,62,10.69,BR,1619371839,Southern Hemisphere
Wau,7.7029,27.9953,80.65,63,47,3.47,SS,1619371623,Northern Hemisphere
Vanimo,-2.6741,141.3028,74.8,87,100,4.45,PG,1619371840,Southern Hemisphere
Castro,-24.7911,-50.0119,65.95,71,100,5.06,BR,1619371564,Southern Hemisphere
Bathurst,-33.4166,149.5806,42.01,81,0,2.46,AU,1619371807,Southern Hemisphere
Torbay,47.6666,-52.7314,54.0,37,20,24.16,CA,1619371840,Northern Hemisphere
Camacha,33.0833,-16.3333,66.2,72,40,18.41,PT,1619371747,Northern Hemisphere
Kontagora,10.3999,5.4695,90.41,42,77,1.1,NG,1619371841,Northern Hemisphere
Klaksvík,62.2266,-6.589,46.4,93,100,11.5,FO,1619371653,Northern Hemisphere
Nador,35.174,-2.9287,62.6,94,90,4.61,MA,1619371684,Northern Hemisphere
Richards Bay,-28.783,32.0377,67.42,86,0,2.35,ZA,1619371842,Southern Hemisphere
Lixouri,38.2019,20.4314,61.0,46,1,8.99,GR,1619371842,Northern Hemisphere
Basco,20.4487,121.9702,75.9,76,99,18.32,PH,1619371842,Northern Hemisphere
Andenes,69.3143,16.1194,35.6,75,90,6.91,NO,1619371842,Northern Hemisphere
Havlíčkův Brod,49.6078,15.5807,46.0,10,92,3.0,CZ,1619371843,Northern Hemisphere
Byron Bay,-28.65,153.6167,60.8,94,90,6.91,AU,1619371843,Southern Hemisphere
Alekseyevka,50.6309,38.6903,43.3,57,70,7.49,RU,1619371843,Northern Hemisphere
De Aar,-30.6497,24.0123,68.88,22,80,3.27,ZA,1619371844,Southern Hemisphere
Port-Gentil,-0.7193,8.7815,86.0,70,20,8.05,GA,1619371844,Southern Hemisphere
Severo-Kuril'sk,50.6789,156.125,31.66,97,100,11.21,RU,1619371844,Northern Hemisphere
Kavaratti,10.5669,72.642,84.63,71,6,10.58,IN,1619371708,Northern Hemisphere
Marsh Harbour,26.5412,-77.0636,80.98,67,5,16.33,BS,1619371844,Northern Hemisphere
Tete,-16.1564,33.5867,87.8,40,20,4.61,MZ,1619371845,Southern Hemisphere
Mount Isa,-20.7333,139.5,69.8,49,31,4.61,AU,1619371732,Southern Hemisphere
Borba,-4.3878,-59.5939,88.99,60,75,4.63,BR,1619371845,Southern Hemisphere
Ixtapa,20.7,-105.2,82.4,57,20,8.05,MX,1619371845,Northern Hemisphere
Qaqortoq,60.7167,-46.0333,51.8,30,75,19.57,GL,1619371766,Northern Hemisphere
Husavik,66.0449,-17.3389,39.2,100,90,17.27,IS,1619371846,Northern Hemisphere
Maricá,-22.9194,-42.8186,82.4,78,20,12.66,BR,1619371846,Southern Hemisphere
Arrondissement du Havre,49.5833,0.3333,51.8,66,0,19.57,FR,1619371846,Northern Hemisphere
Umluj,25.0213,37.2685,83.35,49,0,4.52,SA,1619371715,Northern Hemisphere
Morada Nova,-5.1067,-38.3725,87.91,56,98,3.31,BR,1619371847,Southern Hemisphere
Svetlaya,46.5389,138.3297,31.6,59,28,5.82,RU,1619371602,Northern Hemisphere
Camiri,-20.05,-63.5167,69.8,56,75,5.75,BO,1619371847,Southern Hemisphere
Bud,39.447,-86.1758,55.0,54,1,8.05,US,1619371847,Northern Hemisphere
Codrington,-38.2667,141.9667,52.88,86,47,5.35,AU,1619371743,Southern Hemisphere
Hervey Bay,-25.2986,152.8535,62.01,86,1,4.0,AU,1619371656,Southern Hemisphere
Bambous Virieux,-20.3428,57.7575,78.01,88,75,12.66,MU,1619371653,Southern Hemisphere
Talnakh,69.4865,88.3972,-1.88,96,67,2.35,RU,1619371832,Northern Hemisphere
Guerrero Negro,27.9769,-114.0611,66.27,59,78,11.92,MX,1619371848,Northern Hemisphere
Benemérito de las Américas,16.5167,-90.6439,96.55,37,91,2.95,MX,1619371848,Northern Hemisphere
Ancud,-41.8697,-73.8203,59.0,100,90,3.56,CL,1619371848,Southern Hemisphere
Lüderitz,-26.6481,15.1594,62.38,91,85,2.08,NA,1619371849,Southern Hemisphere
Pemangkat,1.1667,108.9667,78.39,84,74,4.72,ID,1619371849,Northern Hemisphere
Semporna,4.4818,118.6112,75.2,94,20,2.3,MY,1619371849,Northern Hemisphere
Sinnamary,5.3833,-52.95,83.34,72,35,10.18,GF,1619371634,Northern Hemisphere
‘Āhuimanu,21.4447,-157.8378,75.2,69,40,9.22,US,1619371850,Northern Hemisphere
Hofn,64.2539,-15.2082,42.8,87,90,6.91,IS,1619371850,Northern Hemisphere
Avera,33.194,-82.5271,73.4,53,75,4.61,US,1619371844,Northern Hemisphere
Eyl,7.9803,49.8164,83.52,72,15,10.31,SO,1619371850,Northern Hemisphere
Warrnambool,-38.3833,142.4833,52.0,95,59,6.58,AU,1619371850,Southern Hemisphere
İmamoğlu,37.2651,35.6572,71.6,60,0,4.61,TR,1619371851,Northern Hemisphere
Kasangulu,-4.5911,15.1708,91.4,55,40,6.91,CD,1619371851,Southern Hemisphere
Turukhansk,65.8167,87.9833,9.12,95,7,6.46,RU,1619371682,Northern Hemisphere
Kruisfontein,-34.0033,24.7314,71.78,43,100,3.49,ZA,1619371851,Southern Hemisphere
Alofi,-19.0595,-169.9187,69.8,94,82,1.14,NU,1619371852,Southern Hemisphere
Jati,24.3539,68.2671,85.37,53,3,13.38,PK,1619371852,Northern Hemisphere
Ucluelet,48.9329,-125.5528,50.0,87,75,5.75,CA,1619371732,Northern Hemisphere
Sitka,57.0531,-135.33,50.0,53,1,5.75,US,1619371852,Northern Hemisphere
Arraial do Cabo,-22.9661,-42.0278,84.2,65,0,9.22,BR,1619371853,Southern Hemisphere
College,64.8569,-147.8028,42.01,60,1,0.85,US,1619371659,Northern Hemisphere
Llangefni,53.2556,-4.3106,55.4,54,99,17.27,GB,1619371853,Northern Hemisphere
Moroni,-11.7022,43.2551,79.3,82,88,4.56,KM,1619371853,Southern Hemisphere
Mosquera,4.7059,-74.2302,68.0,52,75,3.44,CO,1619371854,Northern Hemisphere
Kaka,37.3482,59.6143,77.79,23,67,6.17,TM,1619371854,Northern Hemisphere
San Juan,-31.5375,-68.5364,73.08,33,0,3.02,AR,1619371854,Southern Hemisphere
Kenai,60.5544,-151.2583,39.2,70,1,3.44,US,1619371855,Northern Hemisphere
Kholm-Zhirkovskiy,55.5189,33.4731,34.05,78,79,10.54,RU,1619371855,Northern Hemisphere
Haines Junction,60.7522,-137.5108,35.6,60,4,3.44,CA,1619371751,Northern Hemisphere
Brae,60.3964,-1.353,46.4,76,20,11.5,GB,1619371855,Northern Hemisphere
Lavrentiya,65.5833,-171.0,22.69,88,98,2.24,RU,1619371855,Northern Hemisphere
Lebu,-37.6167,-73.65,60.26,74,0,13.18,CL,1619371856,Southern Hemisphere
Esperance,-33.8667,121.9,62.6,63,2,16.11,AU,1619371649,Southern Hemisphere
San Quintín,30.4833,-115.95,63.9,65,53,15.23,MX,1619371856,Northern Hemisphere
Isla Mujeres,21.2311,-86.731,86.0,62,75,16.11,MX,1619371857,Northern Hemisphere
Khatanga,71.9667,102.5,5.76,84,87,18.03,RU,1619371857,Northern Hemisphere
Eldorado,-23.7869,-54.2836,66.92,86,94,5.26,BR,1619371857,Southern Hemisphere
Sakakah,29.9697,40.2064,87.8,15,40,19.57,SA,1619371726,Northern Hemisphere
Bāniyās,35.1819,35.9487,68.0,60,75,3.44,SY,1619371857,Northern Hemisphere
Christchurch,-43.5333,172.6333,46.0,100,20,1.14,NZ,1619371858,Southern Hemisphere
Itoman,26.1247,127.6694,68.0,77,0,5.75,JP,1619371858,Northern Hemisphere
Kragerø,58.8693,9.4149,44.01,63,12,5.99,NO,1619371858,Northern Hemisphere
Marabu,4.4148,114.0089,77.0,94,20,1.14,MY,1619371859,Northern Hemisphere
Mayo,38.8876,-76.5119,62.01,63,90,9.22,US,1619371747,Northern Hemisphere
Marrakesh,31.6315,-8.0083,73.4,38,75,14.97,MA,1619371859,Northern Hemisphere
St Helens,53.45,-2.7333,60.8,44,0,10.36,GB,1619371859,Northern Hemisphere
Aldine,29.9324,-95.3802,79.0,50,20,6.91,US,1619371860,Northern Hemisphere
Birin,26.8865,88.0718,64.62,28,7,6.46,NP,1619371860,Northern Hemisphere
Kuantan,3.8077,103.326,77.0,94,40,3.44,MY,1619371860,Northern Hemisphere
Durrës,41.3231,19.4414,59.0,51,0,5.75,AL,1619371861,Northern Hemisphere
Mossendjo,-2.9506,12.7261,72.59,95,91,0.85,CG,1619371861,Southern Hemisphere
Poum,-20.2333,164.0167,77.18,79,100,17.92,NC,1619371848,Southern Hemisphere
Altamont,42.2068,-121.7372,39.99,93,90,3.44,US,1619371862,Northern Hemisphere
Lohārdagā,23.4333,84.6833,79.29,12,5,8.39,IN,1619371862,Northern Hemisphere
Perg,48.25,14.6333,57.0,44,54,11.5,AT,1619371862,Northern Hemisphere
Sørland,67.667,12.6934,39.2,70,75,11.5,NO,1619371863,Northern Hemisphere
Tura,25.5198,90.2201,79.02,26,19,4.52,IN,1619371863,Northern Hemisphere
Rawson,-43.3002,-65.1023,65.89,42,60,21.85,AR,1619371723,Southern Hemisphere
Berlevåg,70.8578,29.0864,32.0,59,40,9.22,NO,1619371864,Northern Hemisphere
Qasigiannguit,68.8193,-51.1922,51.8,40,20,21.85,GL,1619371864,Northern Hemisphere
Puerto Escondido,15.85,-97.0667,86.0,74,20,8.05,MX,1619371864,Northern Hemisphere
Port Moresby,-9.4431,147.1797,77.0,100,75,4.61,PG,1619371865,Southern Hemisphere
Makakilo City,21.3469,-158.0858,73.4,73,1,5.75,US,1619371865,Northern Hemisphere
Houma,29.5958,-90.7195,73.0,50,0,10.0,US,1619371865,Northern Hemisphere
Kirovskiy,45.0917,133.5136,33.71,41,0,4.38,RU,1619371841,Northern Hemisphere
Selikhino,50.3672,137.4996,30.07,61,83,6.13,RU,1619371865,Northern Hemisphere
Padang,-0.9492,100.3543,78.15,85,98,3.22,ID,1619371840,Southern Hemisphere
Marsá Maţrūḩ,31.3525,27.2453,66.2,77,40,16.11,EG,1619371866,Northern Hemisphere
Homer,59.6425,-151.5483,42.8,61,1,4.61,US,1619371803,Northern Hemisphere
Balsas,-7.5325,-46.0356,86.05,61,91,3.67,BR,1619371866,Southern Hemisphere
Mount Gambier,-37.8333,140.7667,48.2,100,90,1.14,AU,1619371867,Southern Hemisphere
Dongsheng,39.8161,109.9776,43.75,90,86,12.08,CN,1619371867,Northern Hemisphere
Loreto,22.2667,-101.9667,77.54,26,26,6.78,MX,1619371632,Northern Hemisphere
Westport,41.1415,-73.3579,54.0,76,90,10.36,US,1619371857,Northern Hemisphere
Narsaq,60.9167,-46.05,51.8,30,75,19.57,GL,1619371867,Northern Hemisphere
Tateyama,34.9833,139.8667,53.01,31,100,3.0,JP,1619371868,Northern Hemisphere
Longyearbyen,78.2186,15.6401,21.2,63,40,18.41,SJ,1619371868,Northern Hemisphere
Thyborøn,56.6985,8.2124,46.0,59,0,11.1,DK,1619371868,Northern Hemisphere
Beringovskiy,63.05,179.3167,30.36,88,99,2.64,RU,1619371869,Northern Hemisphere
Parrita,9.5201,-84.3225,82.4,53,20,16.11,CR,1619371869,Northern Hemisphere
Tamiahua,21.2667,-97.45,84.65,64,81,10.42,MX,1619371869,Northern Hemisphere
Semey,50.4111,80.2275,43.56,46,67,11.63,KZ,1619371870,Northern Hemisphere
Philadelphia,39.9523,-75.1638,62.6,51,75,11.5,US,1619371869,Northern Hemisphere
Anshun,26.25,105.9333,53.73,92,100,9.28,CN,1619371871,Northern Hemisphere
Vardø,70.3705,31.1107,33.8,69,40,18.41,NO,1619371872,Northern Hemisphere
Meulaboh,4.1363,96.1285,77.18,85,87,4.21,ID,1619371872,Northern Hemisphere
Pitimbu,-7.4706,-34.8086,86.0,66,20,12.66,BR,1619371787,Southern Hemisphere
Anadyr,64.75,177.4833,23.0,100,75,2.35,RU,1619371870,Northern Hemisphere
Cherskiy,68.75,161.3,0.34,97,99,4.47,RU,1619371872,Northern Hemisphere
Las Vegas,36.175,-115.1372,75.2,12,1,24.16,US,1619371602,Northern Hemisphere
Hobyo,5.3505,48.5268,84.6,63,72,12.46,SO,1619371873,Northern Hemisphere
Hong Kong,22.2855,114.1577,73.0,93,100,20.15,HK,1619371812,Northern Hemisphere
Xingcheng,40.6167,120.7167,53.13,36,100,3.27,CN,1619371873,Northern Hemisphere
Tirano,46.2154,10.1679,62.01,49,0,4.61,IT,1619371873,Northern Hemisphere
